Active addresses,Blocks count,Block time,CHAIN,Date(UTC),Value
3466.0,5055,17.0919881305638,Ethereum,2016-02-21T00:00:00Z,17119.0
3034.0,5103,16.93121693121693,Ethereum,2016-02-22T00:00:00Z,18190.0
2987.0,4969,17.387804387200642,Ethereum,2016-02-23T00:00:00Z,18482.0
2886.0,5029,17.18035394710678,Ethereum,2016-02-24T00:00:00Z,19540.0
3283.0,5128,16.848673946957877,Ethereum,2016-02-25T00:00:00Z,19503.0
2993.0,5055,17.0919881305638,Ethereum,2016-02-26T00:00:00Z,21068.0
3068.0,4992,17.307692307692307,Ethereum,2016-02-27T00:00:00Z,18981.0
3407.0,5029,17.18035394710678,Ethereum,2016-02-28T00:00:00Z,19063.0
4015.0,4820,17.925311203319502,Ethereum,2016-02-29T00:00:00Z,20358.0
4322.0,5052,17.102137767220903,Ethereum,2016-03-01T00:00:00Z,21778.0
4494.0,5086,16.987809673613842,Ethereum,2016-03-02T00:00:00Z,23562.0
4818.0,5014,17.2317510969286,Ethereum,2016-03-03T00:00:00Z,24837.0
4846.0,4994,17.300760913095715,Ethereum,2016-03-04T00:00:00Z,24287.0
5758.0,5138,16.815881666017905,Ethereum,2016-03-05T00:00:00Z,27115.0
5361.0,4907,17.607499490523743,Ethereum,2016-03-06T00:00:00Z,27661.0
4490.0,5026,17.19060883406287,Ethereum,2016-03-07T00:00:00Z,23271.0
5372.0,5017,17.221447079928243,Ethereum,2016-03-08T00:00:00Z,24105.0
4937.0,4989,17.318099819603127,Ethereum,2016-03-09T00:00:00Z,24557.0
5459.0,5196,16.628175519630485,Ethereum,2016-03-10T00:00:00Z,24814.0
5184.0,5065,17.058242843040475,Ethereum,2016-03-11T00:00:00Z,23124.0
5114.0,5023,17.200875970535538,Ethereum,2016-03-12T00:00:00Z,27887.0
5033.0,5186,16.660239105283456,Ethereum,2016-03-13T00:00:00Z,28127.0
5044.0,5108,16.91464369616288,Ethereum,2016-03-14T00:00:00Z,28528.0
4864.0,5979,14.45057701956849,Ethereum,2016-03-15T00:00:00Z,29273.0
