Date(UTC),PRICE,TOKEN
2018-01-26,12.98153091775173,Binance (BNB)
2018-01-26,1043.757005636786,Ethereum (ETH)
2018-01-27,1078.0871620767152,Ethereum (ETH)
2018-01-28,13.481199186543012,Binance (BNB)
2018-01-28,1183.325708552915,Ethereum (ETH)
2018-01-29,1183.0346035875957,Ethereum (ETH)
2018-01-29,13.02644752828186,Binance (BNB)
2018-01-30,12.061366772991516,Binance (BNB)
2018-01-30,1129.4432167665473,Ethereum (ETH)
2018-01-31,1088.1092205914715,Ethereum (ETH)
2018-01-31,10.99018451725062,Binance (BNB)
2018-02-01,10.061876623483384,Binance (BNB)
2018-02-01,1090.6868187622988,Ethereum (ETH)
2018-02-02,915.6067060389212,Ethereum (ETH)
2018-02-02,8.862501989954511,Binance (BNB)
2018-02-03,941.502076754466,Ethereum (ETH)
2018-02-03,9.619544208082804,Binance (BNB)
2018-02-04,901.3919049011348,Ethereum (ETH)
2018-02-04,9.00538462051975,Binance (BNB)
2018-02-05,7.565777272851871,Binance (BNB)
2018-02-05,770.4518686626949,Ethereum (ETH)
2018-02-06,677.2036390270864,Ethereum (ETH)
2018-02-06,6.846164963551652,Binance (BNB)
2018-02-07,795.5704587488915,Ethereum (ETH)
2018-02-07,8.377653247229347,Binance (BNB)
2018-02-08,811.8579676770962,Ethereum (ETH)
2018-02-08,4.289861727897428,Binance (BNB)
2018-02-09,831.042227877184,Ethereum (ETH)
2018-02-09,7.497368666758904,Binance (BNB)
2018-02-10,9.557433326033074,Binance (BNB)
2018-02-10,867.5453561430649,Ethereum (ETH)
2018-02-11,8.750490674404352,Binance (BNB)
2018-02-11,823.2286521351677,Ethereum (ETH)
2018-02-12,9.203921083935938,Binance (BNB)
2018-02-12,855.0426626854007,Ethereum (ETH)
2018-02-13,843.8873726034899,Ethereum (ETH)
2018-02-13,9.031370456534402,Binance (BNB)
2018-02-14,881.4579252769056,Ethereum (ETH)
2018-02-14,9.495311342477482,Binance (BNB)
2018-02-15,928.6643811323707,Ethereum (ETH)
2018-02-15,10.733136677536612,Binance (BNB)
2018-02-16,10.818777574244168,Binance (BNB)
2018-02-16,931.1352204544612,Ethereum (ETH)
2018-02-17,11.581771811111093,Binance (BNB)
2018-02-17,962.5275264677254,Ethereum (ETH)
2018-02-18,11.078735576425077,Binance (BNB)
2018-02-18,939.7966435512246,Ethereum (ETH)
2018-02-19,938.2727121962962,Ethereum (ETH)
2018-02-19,10.999447417566552,Binance (BNB)
2018-02-20,935.7296198925416,Ethereum (ETH)
2018-02-20,10.752109242211697,Binance (BNB)
2018-02-21,9.64772431537777,Binance (BNB)
2018-02-21,864.7359212045607,Ethereum (ETH)
2018-02-22,9.182017997210108,Binance (BNB)
2018-02-22,827.3064625664548,Ethereum (ETH)
2018-02-23,843.2162674730191,Ethereum (ETH)
2018-02-23,9.17059222590362,Binance (BNB)
2018-02-24,840.3192553294297,Ethereum (ETH)
2018-02-24,9.23216453500344,Binance (BNB)
2018-02-25,836.196376259897,Ethereum (ETH)
2018-02-25,9.18789683087962,Binance (BNB)
2018-02-26,858.3332191149447,Ethereum (ETH)
2018-02-26,9.559880623235625,Binance (BNB)
2018-02-27,877.5049067668033,Ethereum (ETH)
